Model,href,Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,Accidents or damage,1-owner vehicle,Personal use only,Price
2017 BMW X4 M40i,/vehicledetail/da6569c9-ff52-4607-b41d-8b532d9cc554/,Carbon Black Metallic,Black,All-wheel Drive,"19–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXXW7C57H0U25416,PB5703A,"87,588 mi.",At least 1 accident or damage reported,Yes,No,"$26,475"
2019 INFINITI QX30 ESSENTIAL,/vehicledetail/53f9a8f0-82c2-4b52-b4d1-d3b287935e61/,Majestic White,Graphite,Front-wheel Drive,"24–33



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,SJKCH5CPXKA008712,VKA008712,"6,954 mi.",None reported,Yes,Yes,"$28,999"
2021 Chevrolet Malibu LT,/vehicledetail/46a4fb12-4410-4a89-a6f7-c37d6f28f19b/,Red,Jet Black,Front-wheel Drive,"29–36



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1G1ZD5ST6MF029966,P1980,"49,243 mi.",None reported,No,No,"$22,980"
2019 BMW 530e iPerformance,/vehicledetail/0fb14f4e-65cc-4cb2-af4d-4f50a0e4d50f/,Bluestone Metallic,Black,Rear-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,WBAJA9C53KB389816,E23176,"31,326 mi.",None reported,Yes,Yes,"$36,996"
2021 Chevrolet Trailblazer LT,/vehicledetail/c9ba9275-c38e-4444-837a-88233102a8dc/?attribution_type=isa,Satin Steel Metallic,Jet Black,Front-wheel Drive,"28–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,1.3L I3 12V GDI DOHC Turbo,KL79MPSL4MB104137,P23263,"14,631 mi.",None reported,Yes,Yes,"$24,107"
2022 Lexus LS 500 F Sport,/vehicledetail/b0ba6b51-d56f-4925-9348-eb650ca448a8/,Caviar,Black,Rear-wheel Drive,"18–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,JTHF51FF6N5016578,U10636,"8,815 mi.",None reported,Yes,Yes,"$76,884"
2021 Buick Encore GX Select,/vehicledetail/3c5f7201-d77a-4d69-9c3d-303c40e60ec5/,Satin Steel Metallic,Ebony,Front-wheel Drive,"28–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,1.3L I3 12V GDI DOHC Turbo,KL4MMDSLXMB160136,P8491,"4,626 mi.",None reported,Yes,Yes,"$25,997"
2021 Buick Encore Preferred,/vehicledetail/9d08065e-0cfd-4fe3-8906-3238625d7f7f/,Quicksilver Metallic,Ebony,All-wheel Drive,"23–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,KL4CJESB5MB308467,G1832A,"19,379 mi.",None reported,Yes,Yes,"$23,530"
2018 Ford Mustang GT Premium,/vehicledetail/d98dcf9a-5b9d-44dc-850e-bc297af3f8c6/,Magnetic,Ebony,Rear-wheel Drive,"15–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FA6P8CF2J5166759,5166759,"10,695 mi.",At least 1 accident or damage reported,No,No,"$49,000"
2021 Ford Edge SEL,/vehicledetail/cd965458-56e8-4c33-9a41-da23192c3a17/,Iconic Silver,Ebony,All-wheel Drive,"21–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2FMPK4J98MBA01832,MBA01832S,"53,499 mi.",None reported,Yes,No,"$27,592"
2020 Mercedes-Benz CLA 250 Base,/vehicledetail/635c6f48-84b1-4cd5-a4ed-e37f95879a44/,Polar White,Black,Front-wheel Drive,"25–35



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WDD5J4GB0LN035801,P035801,"33,499 mi.",None reported,No,Yes,"$39,998"
2022 INFINITI QX55 ESSENTIAL,/vehicledetail/5bcbfa97-b22c-481b-8da2-f1980172a7ee/,Dynamic Sunstone Red,Stone,All-wheel Drive,"22–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5K32NF107081,NF107081,"7,665 mi.",None reported,Yes,No,"$43,644"
2019 Ford Explorer XLT,/vehicledetail/750e0e15-1767-4d86-9678-63266e4f1b04/,White,Ebony Black,Four-wheel Drive,"16–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D81KGB28722,PKGB28722,"82,947 mi.",At least 1 accident or damage reported,No,No,"$25,500"
2015 Land Rover LR4 HSE,/vehicledetail/2f50b00d-66b1-4e9a-8575-023d8fa93ca9/,Causeway Gray,Ebony,Four-wheel Drive,"15–19



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALAG2V61FA760409,7127,"120,013 mi.",None reported,No,Yes,"$18,995"
2021 BMW X2 sDrive28i,/vehicledetail/6c99596e-ef54-494a-824e-934e7d145447/,Black Sapphire Metallic,Black,Front-wheel Drive,"24–32



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXYH9C09M5S42745,X230645A,"24,588 mi.",None reported,Yes,No,"$35,111"
2016 Jeep Wrangler Unlimited Sport,/vehicledetail/2ae22046-caf6-4c4c-b3b6-54e29a6e5f27/,Billet Silver Clearcoat Metallic,–,Four-wheel Drive,"16–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4BJWDG6GL235091,T235091,"69,843 mi.",None reported,Yes,Yes,"$26,995"
2018 Mercedes-Benz C-Class C 300,/vehicledetail/d2d50153-b84c-4e56-85a3-c9b18da3bce7/,Polar White,Black,Rear-wheel Drive,"24–33



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF4JB8JU235814,CF35814T,"37,567 mi.",At least 1 accident or damage reported,Yes,Yes,"$29,000"
2022 Kia Carnival LXS,/vehicledetail/83d154b6-cb1d-4fe1-a812-18d386c948b5/,Silky Silver,Gray,Front-wheel Drive,"19–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,KNDNB4H34N6122256,423765A,"15,248 mi.",None reported,Yes,Yes,"$35,000"
2017 Ford Utility Police Interceptor Base,/vehicledetail/f4187048-3040-4713-bae8-0c0b718c9f79/,Black,–,All-wheel Drive,"16–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,3.7L V6 24V MPFI DOHC Flexible Fuel,1FM5K8AR6HGB71667,10070C,"66,942 mi.",At least 1 accident or damage reported,No,No,"$16,500"
2022 Hyundai Kona SEL,/vehicledetail/b0939690-9382-4c0a-9ee1-72cddb94efd9/,Cyber Silver,Gray,All-wheel Drive,"28–33



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,KM8K6CAB4NU780069,T60766,"16,505 mi.",None reported,Yes,Yes,"$25,788"
2019 RAM ProMaster 2500 High Roof,/vehicledetail/644359bd-5176-4219-bdee-1bd147eb6294/,White,Black,Front-wheel Drive,–,Gasoline,6-Speed Automatic,3.6L V6 24V MPFI DOHC,3C6TRVDG0KE552655,68251132,"58,602 mi.",None reported,Yes,No,"$33,995"
2023 Kia Forte LXS,/vehicledetail/f267a763-48b9-441d-aee8-2bb24fa6cc90/,Gravity Gray,Black,Front-wheel Drive,–,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,3KPF24AD7PE536555,PE536555,"6,006 mi.",None reported,Yes,Yes,"$23,799"
2012 Chevrolet Avalanche 1500 LTZ,/vehicledetail/39b9ec69-0833-4716-9652-65e6471d0ce6/,White Diamond Tri-Coat,Dark Cashmere / Light Cashmere,Rear-wheel Drive,"15–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,5.3L V8 16V MPFI OHV Flexible Fuel,3GNMCGE01CG231099,G23198B,"136,970 mi.",None reported,No,Yes,"$19,679"
2019 Volkswagen Tiguan 2.0T SE,/vehicledetail/a12784ab-441e-4adc-ab81-3bccedccdabb/,Silk Blue Metallic,Black,All-wheel Drive,"21–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV2B7AX5KM101124,TA0102A,"26,212 mi.",None reported,Yes,Yes,"$25,930"
2022 Hyundai Elantra HEV Blue,/vehicledetail/756e7cac-fcea-4dc1-8abc-59e5ed679910/,Ceramic White,Medium Gray,Front-wheel Drive,"53–56



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,KMHLM4AJ5NU017470,PH836,"26,500 mi.",None reported,Yes,Yes,"$25,457"
2016 Mercedes-Benz GL-Class GL 450 4MATIC,/vehicledetail/194038ed-3478-4d46-b5e2-5d02a369bddb/?attribution_type=isa,Dakota Brown Metallic,Almond,All-wheel Drive,"17–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EE8GA663338,K358,"114,703 mi.",None reported,No,Yes,"$22,490"
2022 Lexus NX 450h+ F SPORT,/vehicledetail/01b8c95f-933d-4af9-a526-89bba4970bc1/,Atomic Silver,Red,All-wheel Drive,–,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTJKKCFZ8N2008074,220879A,"3,574 mi.",None reported,Yes,Yes,"$58,950"
2021 Toyota C-HR Limited,/vehicledetail/ef4d047e-7177-41a9-b4cd-14a3798d3830/,Gray,Black,Front-wheel Drive,"27–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,JTNKHMBXXM1110245,23408217,"28,720 mi.",None reported,Yes,Yes,"$27,998"
2004 Porsche 911 Carrera Cabriolet,/vehicledetail/fea98ed6-4bd6-42b2-92de-a670a6062ce8/,Lapis Blue Metallic,Graphite Gray,Rear-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,5-Speed Automatic,3.6L H6 24V MPFI DOHC,WP0CA29904S651257,33720A,"87,254 mi.",None reported,No,Yes,"$25,000"
2015 Mercedes-Benz G-Class G 63 AMG,/vehicledetail/f4e285bf-9c6b-4804-9ec5-994f71f652ad/,Black,Black,All-wheel Drive,"12–14



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo,WDCYC7DF0FX231413,T231413,"70,531 mi.",None reported,No,No,"$77,999"
2016 Lexus LX 570 Base,/vehicledetail/5cf07f43-e7f8-4137-87aa-556519fe71d6/,Black Onyx,Black,Four-wheel Drive,"13–18



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,5.7L V8 32V MPFI DOHC,JTJHY7AX3G4211094,KWHO3826,"60,436 mi.",None reported,Yes,Yes,"$56,000"
2020 BMW 745e xDrive iPerformance,/vehicledetail/d3384852-5bae-4147-8e77-b0efd65b8a7a/,White,Cognac,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,WBA7W4C09LBM70596,48574M,"44,540 mi.",At least 1 accident or damage reported,Yes,Yes,"$46,995"
2022 Chevrolet Tahoe Z71,/vehicledetail/0dd8c907-ff0b-4ef0-9d75-424ef13fadc3/,Dark Ash Metallic,Jet Black,Four-wheel Drive,"15–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKPKD8NR347517,A23G114A,"5,918 mi.",None reported,Yes,Yes,"$70,392"
2022 BMW X5 PHEV xDrive45e,/vehicledetail/89ab69f2-ee4f-49d5-8599-5724b9833013/,Metallic,Black,All-wheel Drive,–,Hybrid,Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,5UXTA6C01N9L72523,5175613,520 mi.,None reported,Yes,Yes,"$78,897"
2018 Chevrolet Volt LT,/vehicledetail/94a14a1d-d9e0-46a1-96ed-55a348bc7ccc/,Silver Ice Metallic,Jet Black,Front-wheel Drive,–,Hybrid,1-Speed Automatic,1.5L I4 16V GDI DOHC Hybrid,1G1RC6S50JU157458,C1186532,"30,763 mi.",None reported,Yes,Yes,"$21,950"
2016 Nissan GT-R Premium,/vehicledetail/edc0c2f3-b6cf-41ff-95c5-b9f1601d232e/,Gun Metallic,Black,All-wheel Drive,"16–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic with Auto-Shift,3.8L V6 24V MPFI DOHC Twin Turbo,JN1AR5EF8GM290076,CA02051,"39,280 mi.",None reported,No,Yes,"$79,985"
2008 Porsche Cayman S,/vehicledetail/a691943a-536d-4636-8a7d-087ada8a76f6/,Black,Black,Rear-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,5-Speed Automatic,3.4L H6 24V MPFI DOHC,WP0AB29868U780139,T20229A,"89,116 mi.",At least 1 accident or damage reported,No,Yes,"$24,547"
2016 Bentley Flying Spur V8,/vehicledetail/138cd4aa-6a39-45c2-ba25-454b4b0eff29/,White Sand Metallic,Linen,All-wheel Drive,"14–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SCBET9ZA3GC051176,GC051176A,"34,672 mi.",None reported,No,Yes,"$82,950"
2017 Cadillac Escalade Premium Luxury,/vehicledetail/fe828c22-44b0-45fa-8fd2-467bd9ac7b52/,White,Black,Four-wheel Drive,"15–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4CKJXHR400766,11639,"111,342 mi.",At least 1 accident or damage reported,Yes,Yes,"$35,999"
2020 GMC Yukon SLT,/vehicledetail/32f26682-909c-47a0-afff-796058c42c3b/,Onyx Black,Jet Black,Four-wheel Drive,"15–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKC0LR117393,PR287116A,"50,096 mi.",None reported,Yes,Yes,"$49,698"
2022 Genesis G90 3.3T Premium,/vehicledetail/cd253d89-23ef-40e2-b5ad-b99ad50c7e6d/,Savile Silver,Black,All-wheel Drive,"17–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo,KMTF34PA8NU092290,NU092290,"17,051 mi.",None reported,Yes,No,"$57,987"
2023 Mercedes-Benz GLS 450 4MATIC,/vehicledetail/726a43b0-ed6a-42ca-ade0-0dc63a578e29/,White,Black,All-wheel Drive,–,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFF5KE0PA902825,PA951729A,727 mi.,None reported,Yes,Yes,"$83,910"
2015 Chevrolet SS Base,/vehicledetail/6ef4c202-f3e6-4b44-89db-bf3b7e20969f/,Red Hot 2,Jet Black,Rear-wheel Drive,"14–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,6.2L V8 16V MPFI OHV,6G3F25RW3FL100063,N22U161,"20,215 mi.",None reported,No,No,"$49,993"
2022 Genesis GV80 3.5T,/vehicledetail/57851123-02a2-4443-ad67-55bdcedce429/,Savile Silver,Black,All-wheel Drive,–,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,KMUHCESC6NU079864,U079864P,"14,177 mi.",None reported,Yes,Yes,"$65,321"
2016 Ford Transit-150 Base,/vehicledetail/fced063a-607e-43be-b763-ed3fbf36deea/,Oxford White,Pewter,Rear-wheel Drive,–,–,6-Speed Automatic,3.7L V6 24V MPFI DOHC,1FTYE1DM6GKB27082,GKB27082,"30,368 mi.",None reported,Yes,Yes,"$33,799"
2006 INFINITI G35 Base,/vehicledetail/da2fcb80-e9be-44c6-8fb6-1423e69a57f4/,Diamond Graphite Metallic,Black,Rear-wheel Drive,"18–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,JNKCV54E16M701390,6M701390,"77,359 mi.",None reported,Yes,No,"$12,887"
2022 GMC Yukon SLT,/vehicledetail/9fa0a01e-de72-48a4-af2b-222c4f147852/,White,Jet Black,Four-wheel Drive,"15–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKD8NR276920,BP5977,"7,827 mi.",None reported,Yes,Yes,"$72,516"
2017 INFINITI QX80 Base,/vehicledetail/e50d6881-0032-4066-a8d3-9fd235bcbc14/,Black,Black,Rear-wheel Drive,"14–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NF6H9642592,23876430,"32,276 mi.",None reported,Yes,No,"$34,998"
2016 Chevrolet Impala 2LZ,/vehicledetail/af5f4ca9-b54e-4b26-b52f-542f9cb9fc30/,Siren Red Tintcoat,Jet Black,Front-wheel Drive,"19–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,3.6L V6 24V GDI DOHC Flexible Fuel,2G1145S33G9156233,A041846,"56,960 mi.",At least 1 accident or damage reported,Yes,No,"$23,987"
2016 RAM ProMaster 1500 ,/vehicledetail/44cecf0b-b890-429f-979f-b9dbc540a0af/,White,Gray,Rear-wheel Drive,–,Gasoline,Automatic,3.6L,3C6TRVA1HGCR3F88E,9902,"157,649 mi.",None reported,Yes,Yes,"$16,999"
2016 Toyota RAV4 Hybrid XLE,/vehicledetail/5fadc342-530c-4b52-9206-5f74e917046a/,Silver,Ash,All-wheel Drive,"34–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,JTMRJREV3GD020582,N80040,"98,015 mi.",None reported,Yes,No,"$23,995"
2020 Lexus LX 570 Three-Row,/vehicledetail/f29f4fcb-5354-4c0a-b9f5-e0fc26ef1d72/,Atomic Silver,Cabernet,Four-wheel Drive,"12–16



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,5.7L V8 32V MPFI DOHC,JTJDY7AX9L4311581,L4311581MP,"39,383 mi.",None reported,Yes,Yes,"$71,981"
2005 Chevrolet Express 3500 LS,/vehicledetail/8a25f749-8871-422e-a89c-ddf8e02866cd/,Gold,Brown,Rear-wheel Drive,–,–,4-Speed Automatic,6.0L V8 16V MPFI OHV,1GAHG39U251223219,RS-223219,"56,932 mi.",None reported,Yes,No,"$14,995"
2012 Lexus GX 460 Base,/vehicledetail/9dea7110-a62d-46f3-9d5c-1a3f03becca1/,Tungsten Pearl,Black,Four-wheel Drive,"15–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FXXC5044053,D4637XA,"116,798 mi.",At least 1 accident or damage reported,Yes,No,"$20,973"
2018 GMC Terrain SLE,/vehicledetail/6718e980-e0d4-48ea-8b00-da5f549b60e5/,Gray,Black,All-wheel Drive,"24–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,3GKALTEV5JL299558,24033317,"29,694 mi.",None reported,Yes,No,"$24,998"
2022 Kia Niro LXS,/vehicledetail/87ba2ca7-c02c-41c4-82b7-c8ad0b3bcea1/,Black,Black,Front-wheel Drive,"51–46



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,KNDCB3LC6N5549016,23827209,"5,889 mi.",None reported,Yes,Yes,"$32,998"
2022 Volvo XC90 T6 Inscription 7 Passenger,/vehicledetail/d5b7348e-9346-4c14-8165-4e6c00cef2f1/,Gray,Charcoal,All-wheel Drive,"19–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22PL6N1848490,67075,"11,019 mi.",At least 1 accident or damage reported,Yes,No,"$57,995"
2021 Tesla Model Y Standard Range,/vehicledetail/1b3edfa4-6f95-4310-9c3d-4b34fe905625/,Pearl White Multi,Black,Rear-wheel Drive,Electric,1-Speed Automatic,Electric,5YJYGDED9MF106150,P7462,"28,846 mi.",None reported,Yes,Yes,Yes,"$42,454"
2019 INFINITI Q50 3.0t Sport,/vehicledetail/e9161d49-0dca-4089-842c-f1bd84313552/?attribution_type=isa,Graphite Shadow,Graphite,Rear-wheel Drive,"20–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,JN1EV7AP2KM519786,KM519786A,"34,715 mi.",At least 1 accident or damage reported,No,No,"$31,995"
2012 Lincoln Navigator Base,/vehicledetail/ab4103c2-454c-4f34-8051-45ac27de08db/,Tuxedo Black Metallic,Stone,Four-wheel Drive,"13–18



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,5.4L V8 24V MPFI SOHC Flexible Fuel,5LMJJ2J5XCEL08638,L08638A,"115,138 mi.",At least 1 accident or damage reported,No,No,"$15,450"
2008 Volvo C70 T5,/vehicledetail/8e16d531-ec73-4060-bfc6-19ddc57077b6/,Silver Metallic,Off Black,Front-wheel Drive,"18–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,5-Speed Automatic,2.5L I5 20V MPFI DOHC Turbo,YV1MC67208J046222,PSU3070,"48,724 mi.",None reported,No,Yes,"$14,454"
2015 BMW X6 xDrive50i,/vehicledetail/2aa032b4-6aeb-42fe-8bb8-fdd8a0739a77/,White,Black,All-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5UXKU6C53F0F93841,B1841,"69,884 mi.",None reported,No,Yes,"$27,985"
2016 Ford Taurus SEL,/vehicledetail/b6c3272e-cce1-41e0-a1d1-884300576a98/,–,–,All-wheel Drive,"17–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,3.5L V6 24V MPFI DOHC Flexible Fuel,1FAHP2H83GG119866,J220073A,"96,857 mi.",At least 1 accident or damage reported,No,No,"$14,777"
2015 Chrysler 200 S,/vehicledetail/01c30890-5126-4630-bade-7f1e26be0c91/,Black,Black,All-wheel Drive,"18–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,9-Speed Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,1C3CCCDG6FN648830,1040260284,"65,715 mi.",At least 1 accident or damage reported,Yes,No,"$20,995"
2011 Lotus Evora 2+2,/vehicledetail/b6f21357-92d7-4456-8240-f1c632e8cdf3/,White,Black,Rear-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,3.5L V6 24V MPFI DOHC,SCCLMDTU3BHA1129,CONN362,"17,000 mi.",None reported,Yes,Yes,"$52,900"
